starttime,detector_id,speed,volume,traveltime
2019-12-01T00:00:00-08:00,102243,65.56,14687,0.41
2019-12-01T00:00:00-08:00,5791,61.04,17120,0.65
2019-12-01T00:00:00-08:00,1000044,58.66,17263,0.54
2019-12-01T00:00:00-08:00,5790,56.62,18108,0.7
2019-12-01T00:00:00-08:00,1000045,60.09,12196,0.52
2019-12-01T00:00:00-08:00,1000081,68.55,15078,0.87
2019-12-01T00:00:00-08:00,5789,53.83,12069,0.74
2019-12-01T00:00:00-08:00,1000050,59.14,8015,0.69
2019-12-01T00:00:00-08:00,5788,54.96,6528,0.92
2019-12-01T00:00:00-08:00,1000051,59.85,9071,0.69
2019-12-01T00:00:00-08:00,5751,60.09,14751,0.57
2019-12-01T00:00:00-08:00,1000184,69.32,7407,0.95
2019-12-01T00:00:00-08:00,5787,53.61,12846,0.95
2019-12-01T00:00:00-08:00,1000052,57.93,12669,0.71
2019-12-01T00:00:00-08:00,5786,54.89,5407,0.92
2019-12-01T00:00:00-08:00,1000053,67.62,13834,26.86
2019-12-01T00:00:00-08:00,1000185,64.91,15684,1.02
2019-12-01T00:00:00-08:00,1000080,64.55,19797,0.92
2019-12-01T00:00:00-08:00,5785,53.72,15004,0.94
2019-12-01T00:00:00-08:00,5784,54.96,6423,0.98
2019-12-01T00:00:00-08:00,1000054,74.91,15242,1.09
2019-12-01T00:00:00-08:00,5752,66.65,10726,0.51
2019-12-01T00:00:00-08:00,5783,54.93,4716,0.98
2019-12-01T00:00:00-08:00,1000055,68.82,7461,1.19
2019-12-01T00:00:00-08:00,5782,54.95,5270,0.98
2019-12-01T00:00:00-08:00,1000056,77.47,10947,1.05
2019-12-01T00:00:00-08:00,1000079,64.22,13693,0.92
2019-12-01T00:00:00-08:00,5781,54.26,11474,1
2019-12-01T00:00:00-08:00,1000057,75.14,16784,1.13
2019-12-01T00:00:00-08:00,5780,58,17273,0.75
2019-12-01T00:00:00-08:00,5756,59.37,11836,0.37
2019-12-01T00:00:00-08:00,101018,63.01,16176,0.45
2019-12-01T00:00:00-08:00,1000058,65.9,5687,1.29
2019-12-01T00:00:00-08:00,5779,59.75,10780,0.73
2019-12-01T00:00:00-08:00,1000059,75.68,11716,1.12
2019-12-01T00:00:00-08:00,5778,59,12842,0.73
2019-12-01T00:00:00-08:00,1000060,61.22,13806,0.77
2019-12-01T00:00:00-08:00,5777,56.95,15600,0.76
2019-12-01T00:00:00-08:00,101132,61.64,5728,0.84
2019-12-01T00:00:00-08:00,1000078,68.3,15389,0.41
2019-12-01T00:00:00-08:00,5776,60.05,11772,0.64
2019-12-01T00:00:00-08:00,1000061,65.42,12085,0.72
2019-12-01T00:00:00-08:00,5757,60,4914,0.37
2019-12-01T00:00:00-08:00,5775,58.99,13544,0.65
2019-12-01T00:00:00-08:00,1000062,60.87,12848,0.53
2019-12-01T00:00:00-08:00,5774,59.8,10914,0.64
2019-12-01T00:00:00-08:00,1000063,65.39,12866,0.49
2019-12-01T00:00:00-08:00,5773,56.72,17828,0.68
2019-12-01T00:00:00-08:00,1000064,41.46,16507,0.69
2019-12-01T00:00:00-08:00,1000077,65.85,20018,0.43
2019-12-01T00:00:00-08:00,5772,59.94,3473,1.26
2019-12-01T00:00:00-08:00,1000065,66.34,14718,0.43
2019-12-01T00:00:00-08:00,5758,59.94,5293,0.37
2019-12-01T00:00:00-08:00,5771,59.87,3753,1.26
2019-12-01T00:00:00-08:00,1000066,60,15537,0.45
2019-12-01T00:00:00-08:00,5770,59.72,3200,1.26
2019-12-01T00:00:00-08:00,1000067,64.34,15338,0.42
2019-12-01T00:00:00-08:00,5769,59.78,3851,1.26
2019-12-01T00:00:00-08:00,5768,58.33,9699,1.16
2019-12-01T00:00:00-08:00,1000068,64.17,16859,2.23
2019-12-01T00:00:00-08:00,101017,58.97,14891,0.48
2019-12-01T00:00:00-08:00,1000076,64.36,12407,0.44
2019-12-01T00:00:00-08:00,5759,59.79,6679,0.37
2019-12-01T00:00:00-08:00,5767,58.32,9968,1.16
2019-12-01T00:00:00-08:00,1000069,69.01,16169,2.08
2019-12-01T00:00:00-08:00,5766,59.77,3994,0.85
2019-12-01T00:00:00-08:00,1000070,65.03,8761,27.59
2019-12-01T00:00:00-08:00,5765,59.58,4971,0.85
2019-12-01T00:00:00-08:00,1000071,65.7,17325,27.31
2019-12-01T00:00:00-08:00,5764,57.55,9174,0.88
2019-12-01T00:00:00-08:00,1000075,67.31,15274,0.76
2019-12-01T00:00:00-08:00,5760,59.95,4751,1.07
2019-12-01T00:00:00-08:00,1000072,68.08,14662,26.35
2019-12-01T00:00:00-08:00,5007,54.22,21833,0.53
2019-12-01T00:00:00-08:00,5763,60.02,3175,1.06
2019-12-01T00:00:00-08:00,1000073,61.28,12693,0.84
2019-12-01T00:00:00-08:00,5762,59.95,4705,1.07
2019-12-01T00:00:00-08:00,1000074,65.15,18453,0.79
2019-12-01T00:00:00-08:00,5761,59.99,2320,1.07
2019-12-01T00:00:00-08:00,101004,62.48,14905,0.3
2019-12-01T00:00:00-08:00,101133,65.06,10629,0.8
2019-12-01T00:00:00-08:00,101003,60.1,19110,0.31
2019-12-01T00:00:00-08:00,101134,70.77,4852,0.73
2019-12-01T00:00:00-08:00,101050,,0,
2019-12-01T00:00:00-08:00,101095,48.53,24542,0.79
2019-12-01T00:00:00-08:00,101002,55.3,17073,0.34
2019-12-01T00:00:00-08:00,101060,64.33,16230,0.75
2019-12-01T00:00:00-08:00,101104,51.96,26264,0.91
2019-12-01T00:00:00-08:00,101135,53.69,8227,1.1
2019-12-01T00:00:00-08:00,100995,61.66,15615,1.42
