starttime,detector_id,speed,volume,traveltime
2020-06-01T00:00:00-07:00,100185,64.13,5320,0.99
2020-06-01T00:00:00-07:00,1000183,54.9,8183,1.02
2020-06-01T00:00:00-07:00,102183,66.29,15568,0.38
2020-06-01T00:00:00-07:00,100375,62.9,13783,0.29
2020-06-01T00:00:00-07:00,102184,70.11,10360,0.36
2020-06-01T00:00:00-07:00,102185,58.44,11670,0.58
2020-06-01T00:00:00-07:00,100035,59.34,11927,0.63
2020-06-01T00:00:00-07:00,1000031,52.92,23662,0.61
2020-06-01T00:00:00-07:00,1000142,67.92,7981,0.7
2020-06-01T00:00:00-07:00,102186,60.78,12907,0.56
2020-06-01T00:00:00-07:00,100641,64.75,12729,0.73
2020-06-01T00:00:00-07:00,5676,55.89,17850,0.83
2020-06-01T00:00:00-07:00,100965,54.69,9547,0.43
2020-06-01T00:00:00-07:00,1000030,59.55,10989,0.59
2020-06-01T00:00:00-07:00,100586,63.06,12683,1.26
2020-06-01T00:00:00-07:00,100067,58.07,10464,0.56
2020-06-01T00:00:00-07:00,102187,63.56,11868,0.53
2020-06-01T00:00:00-07:00,102188,62.78,7020,0.54
2020-06-01T00:00:00-07:00,100019,61.22,12152,0.23
2020-06-01T00:00:00-07:00,1000029,52.53,17032,0.67
2020-06-01T00:00:00-07:00,101123,62,7547,1.08
2020-06-01T00:00:00-07:00,102189,60.55,15003,0.79
2020-06-01T00:00:00-07:00,5125,51.95,14058,0.67
2020-06-01T00:00:00-07:00,101124,64.21,10892,1.05
2020-06-01T00:00:00-07:00,100640,61.08,9255,0.77
2020-06-01T00:00:00-07:00,5675,57.02,13655,0.81
2020-06-01T00:00:00-07:00,1000143,54.99,10959,0.58
2020-06-01T00:00:00-07:00,102190,64.29,14633,0.75
2020-06-01T00:00:00-07:00,102191,69.04,9351,0.7
2020-06-01T00:00:00-07:00,102192,57.95,2191,1.29
2020-06-01T00:00:00-07:00,100639,58.43,4862,0.91
2020-06-01T00:00:00-07:00,1000170,55.06,6812,0.88
2020-06-01T00:00:00-07:00,1000028,50.93,18365,0.8
2020-06-01T00:00:00-07:00,1000098,59.91,8717,0.64
2020-06-01T00:00:00-07:00,100003,59.35,9833,0.65
2020-06-01T00:00:00-07:00,100285,57.01,11051,0.96
2020-06-01T00:00:00-07:00,5673,59.89,9772,0.77
2020-06-01T00:00:00-07:00,100177,63.09,9022,0.84
2020-06-01T00:00:00-07:00,1000027,58.33,13165,0.7
2020-06-01T00:00:00-07:00,102193,62.73,495,1.19
2020-06-01T00:00:00-07:00,100374,58.51,10767,0.31
2020-06-01T00:00:00-07:00,100533,57.73,4657,0.84
2020-06-01T00:00:00-07:00,102194,51.78,1764,1.44
2020-06-01T00:00:00-07:00,101053,71.95,12409,0.16
2020-06-01T00:00:00-07:00,1000026,58.58,10383,1.05
2020-06-01T00:00:00-07:00,1000144,66.89,9261,0.48
2020-06-01T00:00:00-07:00,102195,58.27,720,1.28
2020-06-01T00:00:00-07:00,102196,64.74,192,1.85
